order_id,order_date,payment_method,order_total,customer_id,customer_name,area,customer_segment,product_id,product_name,category,brand,quantity,unit_price,item_total,delivery_time_minutes,distance_km,delivery_status,delivery_flag,order_month,order_type
1961864118,2024-07-17 08:34:01,Cash,3197.07,30065862,Urishilla Hegde,Allahabad,Regular,642612,Pet Treats,Pet Care,Pillay-Ahuja,3,517.03,1551.09,-5,0.96,On Time,On Time,2024-07,High Value
1549769649,2024-05-28 13:14:29,Cash,976.55,9573071,Ranveer Mahal,Thrissur,New,378676,Orange Juice,Cold Drinks & Juices,Baral-Kamdar,1,881.42,881.42,2,0.98,On Time,On Time,2024-05,Normal
9185164487,2024-09-23 13:07:12,UPI,839.05,45477575,Aarna Bawa,Vellore,Inactive,741341,Eggs,Dairy & Breakfast,Prasad LLC,2,923.84,1847.68,4,3.83,On Time,On Time,2024-09,Normal
9644738826,2023-11-24 16:16:56,Card,440.23,88067569,Aayush Sengupta,Gaya,Premium,561860,Orange Juice,Cold Drinks & Juices,Gupta Ltd,1,874.78,874.78,-1,2.76,On Time,On Time,2023-11,Normal
5427684290,2023-11-20 05:00:39,Cash,2526.68,83298567,Vansha Kuruvilla,Asansol,Premium,602241,Nuts,Snacks & Munchies,Bahl-Pau,2,976.55,1953.1,1,2.63,On Time,On Time,2023-11,High Value
3265154092,2023-03-18 16:29:51,UPI,3161.43,43367112,Chasmum Ramesh,Gopalpur,New,681063,Mango Drink,Cold Drinks & Juices,Dass and Sons,1,321.28,321.28,-1,1.94,On Time,On Time,2023-03,High Value
4898355547,2023-04-16 18:50:37,Card,956.4,13284996,Irya Dayal,Phagwara,Regular,56589,Vitamins,Pharmacy,"Pai, Kashyap and Ramachandran",3,517.77,1553.31,1,2.2,On Time,On Time,2023-04,Normal
6568151549,2024-03-31 06:26:48,Cash,905.47,88866835,Osha Dora,South Dumdum,Premium,500739,Bread,Dairy & Breakfast,Aggarwal Group,2,359.98,719.96,2,1.3,On Time,On Time,2024-03,Normal
6006693867,2023-07-13 23:49:36,Card,1371.17,24496983,Vasana Sen,Kamarhati,Regular,490939,Lotion,Personal Care,"Roy, Barad and De",1,80.25,80.25,3,3.38,On Time,On Time,2023-07,High Value
374186990,2023-08-09 01:17:30,Wallet,1601.19,52215833,Lipika Parmer,Sirsa,Regular,760828,Pet Treats,Pet Care,"Khurana, Khosla and Yohannan",2,563.45,1126.9,7,1.47,Slightly Delayed,On Time,2023-08,High Value
4455336265,2023-08-30 19:37:06,UPI,2362.33,43431724,Jack Kalita,Rohtak,New,753354,Shampoo,Personal Care,Sant-Mahajan,3,423.56,1270.68,-2,0.76,On Time,On Time,2023-08,High Value
3539286337,2023-04-25 20:32:24,Wallet,1463.8,77559557,Akshay Varty,Madurai,New,684939,Lotion,Personal Care,"Sibal, Bhatnagar and Rajan",1,727.95,727.95,-5,3.68,On Time,On Time,2023-04,High Value
9171116867,2023-10-22 11:15:33,Card,822.63,87107263,Lakshmi Arora,Vijayawada,Inactive,500739,Bread,Dairy & Breakfast,Aggarwal Group,3,359.98,1079.94,12,2.23,Slightly Delayed,On Time,2023-10,Normal
5504941865,2024-01-28 02:39:11,Wallet,2287.68,76512976,Yashica Pathak,Belgaum,New,540618,Popcorn,Snacks & Munchies,Golla-Luthra,1,317.05,317.05,11,4.45,Slightly Delayed,On Time,2024-01,High Value
5868326481,2024-03-15 21:07:07,Wallet,1962.35,37556526,Anjali Varkey,Farrukhabad,Inactive,53833,Rice,Grocery & Staples,Tella-Master,3,134.69,404.07,-3,2.8,On Time,On Time,2024-03,High Value
2137046916,2024-02-03 08:50:32,UPI,3373.96,12059049,Jagdish Mander,Nizamabad,Regular,455755,Detergent,Household Care,Mangal-Sathe,2,44.09,88.18,-2,1.78,On Time,On Time,2024-02,High Value
8195544338,2023-04-26 04:03:57,Wallet,845.71,26199489,Aarna Gola,Serampore,Inactive,131937,Frozen Pizza,Instant & Frozen Food,"Varkey, Devi and Ganguly",1,287.81,287.81,8,1.16,Slightly Delayed,On Time,2023-04,Normal
2889700050,2024-04-30 16:22:26,Wallet,2706.54,84848018,Jackson Roy,Alappuzha,Regular,798639,Eggs,Dairy & Breakfast,Subramaniam LLC,1,211.25,211.25,3,3.07,On Time,On Time,2024-04,High Value
65827885,2023-07-27 00:13:05,Cash,1132.98,47577193,Chaaya Wable,Dehri,Premium,324809,Bread,Dairy & Breakfast,Sidhu PLC,3,608,1824,-5,1.65,On Time,On Time,2023-07,High Value
4656471694,2023-12-09 08:08:08,Cash,1525.5,60728956,Andrew Nigam,Khandwa,Premium,679284,Cough Syrup,Pharmacy,Pant LLC,1,877.89,877.89,8,3.7,Slightly Delayed,On Time,2023-12,High Value
6625178717,2023-07-01 04:24:22,Card,5718.09,62068277,Zarna Shetty,Hosur,Regular,952168,Popcorn,Snacks & Munchies,"Krishnamurthy, Sibal and Das",3,236.95,710.8499999999999,13,4.22,Slightly Delayed,On Time,2023-07,High Value
7169557514,2023-03-21 05:27:13,Card,2970.9,84824280,Kamya Narayan,Ongole,Inactive,706112,Vitamins,Pharmacy,"Magar, Gara and Garg",2,478.79,957.58,12,3.28,Slightly Delayed,On Time,2023-03,High Value
2268306684,2024-05-28 14:59:08,Wallet,2991.57,66742602,Yatan Uppal,Jalna,New,812607,Potatoes,Fruits & Vegetables,Rege Group,2,416.65,833.3,-1,1.82,On Time,On Time,2024-05,High Value
6905293278,2024-06-16 10:23:23,Cash,1404.68,97259564,Watika Narayanan,Khammam,Premium,799952,Cheese,Dairy & Breakfast,Padmanabhan-Virk,1,922.64,922.64,26,0.58,Significantly Delayed,On Time,2024-06,High Value
